# These came straight from http://en.wikipedia.org/wiki/List_of_ISO_639-2_codes
#Code	English Name	Native Name
aa	Afar	Qafara
ab	Abkhazian	Аҧсуа
ae	Avestan	avesta
af	Afrikaans	Afrikaans
ak	Akan	Akan
am	Amharic	አማርኛ
an	Aragonese	Aragonés
ar	Arabic	العربية
as	Assamese	অসমীয়া
av	Avaric	авар мацӀ, магӀарул мацӀ
ay	Aymara	aymar aru
az	Azerbaijani	Azərbaycanca
ba	Bashkir	башҡорт теле
be	Belarusian	Беларуская мова
bg	Bulgarian	български език
bh	Bihari (languages)	Langues Biharis
bi	Bislama	Bislama
bm	Bambara	bamanankan
bn	Bengali	বাংলা
bo	Tibetan	བོད་ཡིག
br	Breton	brezhoneg
bs	Bosnian	bosanski jezik
ca	Catalan, Valencian	català
ce	Chechen	нохчийн мотт
ch	Chamorro	Chamoru
co	Corsican	corsu, lingua corsa
cr	Cree	ᓀᐦᐃᔭᐍᐏᐣ
cs	Czech	čeština (substantive), česky (adverb)
cu	Church Slavonic, Church Slavic, Old Church Slavonic, Old Slavonic, Old Bulgarian	ѩзыкъ словѣньскъ
cv	Chuvash	чӑваш чӗлхи
cy	Welsh	Cymraeg
da	Danish	Dansk
de	German	Deutsch
dv	Divehi, Dhivehi, Maldivian	ދިވެހިބަސ
dz	Dzongkha	རྫོང་ཁ
ee	Ewe	Ɛʋɛgbɛ
el	Modern Greek (1453–)	Ελληνικά
en	English	English
eo	Esperanto	Esperanto
es	Spanish, Castilian	español, castellano
et	Estonian	eesti keel
eu	Basque	euskara
fa	Persian	فارسی
ff	Fulah	Fulfulde, Pulaar, Pular
fi	Finnish	suomi, suomen kieli
fj	Fijian	vosa Vakaviti
fo	Faroese	føroyskt
fr	French	français, langue française
fy	Western Frisian	frysk
ga	Irish	Gaeilge
gd	Scottish Gaelic, Gaelic	Gàidhlig
gl	Galician	Galego
gn	Guarani	Avañe'ẽ
gu	Gujarati	ગુજરાતી
gv	Manx	Gaelg, Manninagh
ha	Hausa	Hausancī, هَوُسَ
he	Hebrew	עִבְרִית, עברית
hi	Hindi	हिन्दी
ho	Hiri Motu	Hiri Motu
hr	Croatian	hrvatski jezik
ht	Haitian Creole, Haitian	Kreyòl ayisyen
hu	Hungarian	magyar
hy	Armenian	Հայերեն լեզու
hz	Herero	Otjiherero
ia	Interlingua (International Auxiliary Language Association)	interlingua
id	Indonesian	Bahasa Indonesia
ie	Interlingue, Occidental	Interlingue
ig	Igbo	Igbo
ii	Sichuan Yi, Nuosu	ꆇꉙ
ik	Inupiaq	Iñupiaq, Iñupiatun
io	Ido	Ido
is	Icelandic	íslenska
it	Italian	italiano
iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ
ja	Japanese	日本語 (にほんご)
jv	Javanese	basa Jawa (ꦧꦱꦗꦮ)
ka	Georgian	ქართული ენა (kartuli ena)
kg	Kongo	Kikongo
ki	Kikuyu, Gikuyu	Gĩkũyũ
kj	Kuanyama, Kwanyama	Kuanyama, Kwanyama
kk	Kazakh	Қазақ тілі
kl	Greenlandic, Kalaallisut	kalaallisut, kalaallit oqaasii
km	Central Khmer	ភាសាខ្មែរ
kn	Kannada	ಕನ್ನಡ
ko	Korean	한국어 (韓國語), 조선말 (朝鮮語)
kr	Kanuri	Kanouri
ks	Kashmiri	कॉशुर, کٲشُر
ku	Kurdish	Kurdî
kv	Komi	коми кыв
kw	Cornish	Kernewek
ky	Kirghiz, Kyrgyz	кыргыз тили
la	Latin	latine, lingua latina
lb	Luxembourgish, Letzeburgesch	Lëtzebuergesch
lg	Ganda	Luganda
li	Limburgish, Limburger, Limburgan	Limburgs
ln	Lingala	lingala
lo	Lao	ພາສາລາວ
lt	Lithuanian	lietuvių kalba
lu	Luba-Katanga	Luba-Katanga
lv	Latvian	latviešu valoda
mg	Malagasy	Malagasy fiteny
mh	Marshallese	Kajin M̧ajeļ
mi	Māori	te reo Māori
mk	Macedonian	македонски јазик
ml	Malayalam	മലയാളം
mn	Mongolian	монгол хэл
mr	Marathi	मराठी
ms	Malay	bahasa Melayu, بهاس ملايو
mt	Maltese	Malti
my	Burmese	ျမန္မာစာ
na	Nauruan	Ekakairũ Naoero
nb	Norwegian Bokmål	bokmål
nd	Northern Ndebele	isiNdebele
ne	Nepali	नेपाली
ng	Ndonga	Owambo
nl	Dutch, Flemish	Nederlands
nn	Norwegian Nynorsk	nynorsk
no	Norwegian	norsk
nr	Southern Ndebele	isiNdebele
nv	Navajo, Navaho	Diné bizaad, Dinékʼehǰí
ny	Chichewa, Chewa, Nyanja	chiCheŵa, chinyanja
oc	Occitan, Provençal (1500–)	Occitan
oj	Ojibwa	ᐊᓂᔑᓇᐯᒧᐏᐣ (Anishinaabemowin)
